table_name,column_name,datatype,unit,description
des_dr2.mag,alphawin_j2000,adql:DOUBLE,degrees,"right ascension for the object, j2000 in icrs system (full precision but not indexed) [degrees]"
des_dr2.mag,coadd_object_id,adql:BIGINT,,unique identifier for the coadded objects
des_dr2.mag,dec,adql:DOUBLE,degrees,"declination, with quantized precision for indexing (deltawin_j2000 has full precision but not indexed) [degrees]"
des_dr2.mag,deltawin_j2000,adql:DOUBLE,degrees,"declination for the object, j2000 in icrs system (full precision but not indexed) [degrees]"
des_dr2.mag,ebv_sfd98,adql:DOUBLE,mag,"e(b-v) reddening coefficient from schlegel, finkbeiner & davis, 1998 [mag]"
des_dr2.mag,flags_g,adql:SMALLINT,,g-band additive flag describing cautionary advice about source extraction process. use less than 4 for well behaved objects
des_dr2.mag,flags_i,adql:SMALLINT,,i-band additive flag describing cautionary advice about source extraction process. use less than 4 for well behaved objects
des_dr2.mag,flags_r,adql:SMALLINT,,r-band additive flag describing cautionary advice about source extraction process. use less than 4 for well behaved objects
des_dr2.mag,flags_y,adql:SMALLINT,,y-band additive flag describing cautionary advice about source extraction process. use less than 4 for well behaved objects
des_dr2.mag,flags_z,adql:SMALLINT,,z-band additive flag describing cautionary advice about source extraction process. use less than 4 for well behaved objects
des_dr2.mag,hpix_1024,adql:BIGINT,,"healpix identifier for nside=1024 grid size, in a nested schema"
des_dr2.mag,hpix_16384,adql:BIGINT,,"healpix identifier for nside=16384 grid size, in a nested schema"
des_dr2.mag,hpix_32,adql:BIGINT,,"healpix identifier for nside=32 grid size, in a nested schema"
des_dr2.mag,hpix_4096,adql:BIGINT,,"healpix identifier for nside=4096 grid size, in a nested schema"
des_dr2.mag,hpix_64,adql:BIGINT,,"healpix identifier for nside=64 grid size, in a nested schema"
des_dr2.mag,imaflags_iso_g,adql:INTEGER,,"g-band flag identifying sources with missing/flagged pixels, considering all single epoch images"
des_dr2.mag,imaflags_iso_i,adql:INTEGER,,"i-band flag identifying sources with missing/flagged pixels, considering all single epoch images"
des_dr2.mag,imaflags_iso_r,adql:INTEGER,,"r-band flag identifying sources with missing/flagged pixels, considering all single epoch images"
des_dr2.mag,imaflags_iso_y,adql:INTEGER,,"y-band flag identifying sources with missing/flagged pixels, considering all single epoch images"
des_dr2.mag,imaflags_iso_z,adql:INTEGER,,"z-band flag identifying sources with missing/flagged pixels, considering all single epoch images"
des_dr2.mag,magerr_aper_10_g,adql:REAL,mag,"aperture 10 equivalent to 29.63 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_10_i,adql:REAL,mag,"aperture 10 equivalent to 29.63 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_10_r,adql:REAL,mag,"aperture 10 equivalent to 29.63 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_10_y,adql:REAL,mag,"aperture 10 equivalent to 29.63 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_10_z,adql:REAL,mag,"aperture 10 equivalent to 29.63 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_11_g,adql:REAL,mag,"aperture 11 equivalent to 44.44 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_11_i,adql:REAL,mag,"aperture 11 equivalent to 44.44 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_11_r,adql:REAL,mag,"aperture 11 equivalent to 44.44 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_11_y,adql:REAL,mag,"aperture 11 equivalent to 44.44 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_11_z,adql:REAL,mag,"aperture 11 equivalent to 44.44 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_12_g,adql:REAL,mag,"aperture 12 equivalent to 66.67 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_12_i,adql:REAL,mag,"aperture 12 equivalent to 66.67 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_12_r,adql:REAL,mag,"aperture 12 equivalent to 66.67 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_12_y,adql:REAL,mag,"aperture 12 equivalent to 66.67 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_12_z,adql:REAL,mag,"aperture 12 equivalent to 66.67 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_1_g,adql:REAL,mag,"aperture 1 equivalent to 1.85 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_1_i,adql:REAL,mag,"aperture 1 equivalent to 1.85 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_1_r,adql:REAL,mag,"aperture 1 equivalent to 1.85 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_1_y,adql:REAL,mag,"aperture 1 equivalent to 1.85 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_1_z,adql:REAL,mag,"aperture 1 equivalent to 1.85 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_2_g,adql:REAL,mag,"aperture 2 equivalent to 3.7 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_2_i,adql:REAL,mag,"aperture 2 equivalent to 3.7 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_2_r,adql:REAL,mag,"aperture 2 equivalent to 3.7 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_2_y,adql:REAL,mag,"aperture 2 equivalent to 3.7 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_2_z,adql:REAL,mag,"aperture 2 equivalent to 3.7 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_3_g,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_3_i,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_3_r,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_3_y,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_3_z,adql:REAL,mag,"aperture 3 equivalent to 5.55 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_4_g,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_4_i,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], i-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_4_r,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], r-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_4_y,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], y-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_4_z,adql:REAL,mag,"aperture 4 equivalent to 7.41 [pixel], z-band uncertainty in magnitude estimation for circular apertures [mag]"
des_dr2.mag,magerr_aper_5_g,adql:REAL,mag,"aperture 5 equivalent to 11.11 [pixel], g-band uncertainty in magnitude estimation for circular apertures [mag]"
