table_name,column_name,datatype,unit,description
des_dr2.main,alphawin_j2000,adql:DOUBLE,degrees,"right ascension for the object, j2000 in icrs system (full precision but not indexed) [degrees]"
des_dr2.main,awin_image_g,adql:REAL,pixels,"g-band major axis size, from 2nd order windowed moment measurements [pixels]"
des_dr2.main,awin_image_i,adql:REAL,pixels,"i-band major axis size, from 2nd order windowed moment measurements [pixels]"
des_dr2.main,awin_image_r,adql:REAL,pixels,"r-band major axis size, from 2nd order windowed moment measurements [pixels]"
des_dr2.main,awin_image_y,adql:REAL,pixels,"y-band major axis size, from 2nd order windowed moment measurements [pixels]"
des_dr2.main,awin_image_z,adql:REAL,pixels,"z-band major axis size, from 2nd order windowed moment measurements [pixels]"
des_dr2.main,a_image,adql:REAL,pixel,major axis size based on an isophotal model [pixel]
des_dr2.main,background_g,adql:REAL,mag,"g-band background level, by ccd-amplifier [mag]"
des_dr2.main,background_i,adql:REAL,mag,"i-band background level, by ccd-amplifier [mag]"
des_dr2.main,background_r,adql:REAL,mag,"r-band background level, by ccd-amplifier [mag]"
des_dr2.main,background_y,adql:REAL,mag,"y-band background level, by ccd-amplifier [mag]"
des_dr2.main,background_z,adql:REAL,mag,"z-band background level, by ccd-amplifier [mag]"
des_dr2.main,bwin_image_g,adql:REAL,pixels,"g-band minor axis size, from 2nd order windowed moment measurements [pixels]"
des_dr2.main,bwin_image_i,adql:REAL,pixels,"i-band minor axis size, from 2nd order windowed moment measurements [pixels]"
des_dr2.main,bwin_image_r,adql:REAL,pixels,"r-band minor axis size, from 2nd order windowed moment measurements [pixels]"
des_dr2.main,bwin_image_y,adql:REAL,pixels,"y-band minor axis size, from 2nd order windowed moment measurements [pixels]"
des_dr2.main,bwin_image_z,adql:REAL,pixels,"z-band minor axis size, from 2nd order windowed moment measurements [pixels]"
des_dr2.main,b_image,adql:REAL,pixel,minor axis size based on an isophotal model [pixel]
des_dr2.main,class_star_g,adql:REAL,,g-band simple morphological extended source classifier. values between 0 (galaxies) and 1 (stars). spread_model exhibits better performance for morphological classification.
des_dr2.main,class_star_i,adql:REAL,,i-band simple morphological extended source classifier. values between 0 (galaxies) and 1 (stars). spread_model exhibits better performance for morphological classification.
des_dr2.main,class_star_r,adql:REAL,,r-band simple morphological extended source classifier. values between 0 (galaxies) and 1 (stars). spread_model exhibits better performance for morphological classification.
des_dr2.main,class_star_y,adql:REAL,,y-band simple morphological extended source classifier. values between 0 (galaxies) and 1 (stars). spread_model exhibits better performance for morphological classification.
des_dr2.main,class_star_z,adql:REAL,,z-band simple morphological extended source classifier. values between 0 (galaxies) and 1 (stars). spread_model exhibits better performance for morphological classification.
des_dr2.main,coadd_object_id,adql:BIGINT,,unique identifier for the coadded objects
des_dr2.main,dec,adql:DOUBLE,degrees,"declination, with quantized precision for indexing (deltawin_j2000 has full precision but not indexed) [degrees]"
des_dr2.main,deltawin_j2000,adql:DOUBLE,degrees,"declination for the object, j2000 in icrs system (full precision but not indexed) [degrees]"
des_dr2.main,ebv_sfd98,adql:DOUBLE,mag,"e(b-v) reddening coefficient from schlegel, finkbeiner & davis, 1998 [mag]"
des_dr2.main,errawin_image_g,adql:REAL,pixel,"g-band uncertainty in major axis size, from converged windowed measurement, assuming uncorrelated noise [pixel]"
des_dr2.main,errawin_image_i,adql:REAL,pixel,"i-band uncertainty in major axis size, from converged windowed measurement, assuming uncorrelated noise [pixel]"
des_dr2.main,errawin_image_r,adql:REAL,pixel,"r-band uncertainty in major axis size, from converged windowed measurement, assuming uncorrelated noise [pixel]"
des_dr2.main,errawin_image_y,adql:REAL,pixel,"y-band uncertainty in major axis size, from converged windowed measurement, assuming uncorrelated noise [pixel]"
des_dr2.main,errawin_image_z,adql:REAL,pixel,"z-band uncertainty in major axis size, from converged windowed measurement, assuming uncorrelated noise [pixel]"
des_dr2.main,erra_image,adql:REAL,pixel,"uncertainty in major axis size, from isophotal model [pixel]"
des_dr2.main,errbwin_image_g,adql:REAL,pixel,"g-band uncertainty in minor axis size, from converged windowed measurement, assuming uncorrelated noise [pixel]"
des_dr2.main,errbwin_image_i,adql:REAL,pixel,"i-band uncertainty in minor axis size, from converged windowed measurement, assuming uncorrelated noise [pixel]"
des_dr2.main,errbwin_image_r,adql:REAL,pixel,"r-band uncertainty in minor axis size, from converged windowed measurement, assuming uncorrelated noise [pixel]"
des_dr2.main,errbwin_image_y,adql:REAL,pixel,"y-band uncertainty in minor axis size, from converged windowed measurement, assuming uncorrelated noise [pixel]"
des_dr2.main,errbwin_image_z,adql:REAL,pixel,"z-band uncertainty in minor axis size, from converged windowed measurement, assuming uncorrelated noise [pixel]"
des_dr2.main,errb_image,adql:REAL,pixel,"uncertainty in minor axis size, from isophotal model [pixel]"
des_dr2.main,errthetawin_image_g,adql:REAL,degrees,"g-band uncertainty in source position angle, from converged windowed measurement [degrees]"
des_dr2.main,errthetawin_image_i,adql:REAL,degrees,"i-band uncertainty in source position angle, from converged windowed measurement [degrees]"
des_dr2.main,errthetawin_image_r,adql:REAL,degrees,"r-band uncertainty in source position angle, from converged windowed measurement [degrees]"
des_dr2.main,errthetawin_image_y,adql:REAL,degrees,"y-band uncertainty in source position angle, from converged windowed measurement [degrees]"
des_dr2.main,errthetawin_image_z,adql:REAL,degrees,"z-band uncertainty in source position angle, from converged windowed measurement [degrees]"
des_dr2.main,errtheta_image,adql:REAL,degrees,"uncertainty in source position, from isophotal model [degrees]"
des_dr2.main,errx2win_image_g,adql:DOUBLE,pixel2,"g-band uncertainty in second moment of x-distribution centroid, from converged windowed measurements [pixel2]"
des_dr2.main,errx2win_image_i,adql:DOUBLE,pixel2,"i-band uncertainty in second moment of x-distribution centroid, from converged windowed measurements [pixel2]"
des_dr2.main,errx2win_image_r,adql:DOUBLE,pixel2,"r-band uncertainty in second moment of x-distribution centroid, from converged windowed measurements [pixel2]"
des_dr2.main,errx2win_image_y,adql:DOUBLE,pixel2,"y-band uncertainty in second moment of x-distribution centroid, from converged windowed measurements [pixel2]"
des_dr2.main,errx2win_image_z,adql:DOUBLE,pixel2,"z-band uncertainty in second moment of x-distribution centroid, from converged windowed measurements [pixel2]"
des_dr2.main,errxywin_image_g,adql:DOUBLE,pixel2,"g-band uncertainty in second moment of xy-distribution, from converged windowed measurements [pixel2]"
des_dr2.main,errxywin_image_i,adql:DOUBLE,pixel2,"i-band uncertainty in second moment of xy-distribution, from converged windowed measurements [pixel2]"
des_dr2.main,errxywin_image_r,adql:DOUBLE,pixel2,"r-band uncertainty in second moment of xy-distribution, from converged windowed measurements [pixel2]"
des_dr2.main,errxywin_image_y,adql:DOUBLE,pixel2,"y-band uncertainty in second moment of xy-distribution, from converged windowed measurements [pixel2]"
des_dr2.main,errxywin_image_z,adql:DOUBLE,pixel2,"z-band uncertainty in second moment of xy-distribution, from converged windowed measurements [pixel2]"
